Council,Total_datazones,5% most deprived,local_share,national_share
Inverclyde,114,22,19.3,6.3
Glasgow City,746,137,18.4,39.3
Dundee City,188,22,11.7,6.3
West Dunbartonshire,121,9,7.4,2.6
North Ayrshire,186,13,7.0,3.7
North Lanarkshire,447,31,6.9,8.9
East Ayrshire,163,10,6.1,2.9
Clackmannanshire,72,4,5.6,1.1
Renfrewshire,225,12,5.3,3.4
South Ayrshire,153,8,5.2,2.3
South Lanarkshire,431,18,4.2,5.2
Fife,494,15,3.0,4.3
City of Edinburgh,597,18,3.0,5.2
Falkirk,214,5,2.3,1.4
West Lothian,239,5,2.1,1.4
Midlothian,115,2,1.7,0.6
Stirling,121,2,1.7,0.6
Highland,312,5,1.6,1.4
Argyll and Bute,125,2,1.6,0.6
Dumfries and Galloway,201,3,1.5,0.9
Angus,155,2,1.3,0.6
East Dunbartonshire,130,1,0.8,0.3
East Renfrewshire,122,1,0.8,0.3
Scottish Borders,143,1,0.7,0.3
Aberdeen City,283,1,0.4,0.3
Moray,126,0,0.0,0.0
East Lothian,132,0,0.0,0.0
Perth and Kinross,186,0,0.0,0.0
Aberdeenshire,340,0,0.0,0.0
Na h-Eileanan an Iar,36,0,0.0,0.0
Shetland Islands,30,0,0.0,0.0
Orkney Islands,29,0,0.0,0.0
